height,weight
167.09,51.186
181.649,61.829
176.273,69.321
173.27,64.478
172.181,65.367
174.493,55.856
177.297,64.097
177.837,61.817
172.473,50.905
169.627,54.662
168.879,57.736
171.763,51.707
173.488,56.902
170.476,55.475
173.43,52.587
180.573,63.419
168.811,58.665
174.369,64.767
180.925,62.47
170.513,56.192
172.298,64
174.952,65.023
161.242,44.35
173.792,58.665
171.775,64.258
170.71,58.765
179.94,64.518
171.436,59.592
168.996,49.075
166.22,51.593
176.589,46.796
167.166,54.701
172.253,56.982
179.311,61.709
182.384,63.466
175.784,58.323
169.681,64.235
171.854,54.918
172.23,59.501
162.675,48.34
174.18,56.335
165.566,56.561
176.932,63.271
172.637,62.228
167.591,48.222
174.428,58.33
169.877,65.995
171.955,52.919
177.346,65.061
175.484,61.124
177.584,66.601
171.023,57.227
178.484,56.844
175.523,52.416
166.074,55.941
178.269,66.995
178.832,70.622
169.021,58.018
168.565,54.075
171.544,60.618
168.921,58.316
175.259,62.308
173.491,58.781
170.212,58.357
179.847,61.298
173.278,49.654
175.41,64.538
172.037,60.135
170.728,46.898
171.114,56.503
165.787,58.579
179.941,60.71
177.608,63.6
163.284,46.584
173.343,58.22
168.547,54.495
173.641,62.787
166.311,60.23
177.087,52.377
172.023,55.503
174.344,60.985
169.631,55.22
177.931,70.386
168.347,58.411
175.773,58.483
175.602,63.181
171.105,63.823
178.036,59.611
178.249,54.869
173.293,59.575
173.048,61.856
178.416,64.095
181.578,63.697
175.78,50.8
177.96,60.456
179.215,59.705
168.368,54.373
161.101,55.763
169.588,58.049
174.974,52.311
164.781,46.248
170.416,59.05
173.603,60.785
166.651,44.685
172.099,51.896
172.774,55.942
171.861,55.741
168.439,57.294
176.37,58.173
162.144,57.619
172.016,55.291
177.929,57.806
178.272,59.634
167.503,50.689
177.818,55.284
174.273,58.235
174.773,60.104
177.196,61.637
166.257,52.521
174.816,62.018
167.133,54.306
170.725,49.379
176.327,58.107
175.118,61.287
172.571,48.406
166.688,55.852
168.9,49.61
172.537,54.047
174.991,63.529
